sl,year,statename,pcname,candidate,sex,party,total,overpolled,votesv,electors,polled,pollperc,rank,win,alliance
727,1991,ANDHRA PRADESH,KHAMMAM,CHIRRA VENKATESWARLU,M,IND,2074,0.29%,,1043897,732650,70.18%,12,0,OTHERS
728,1991,ANDHRA PRADESH,KHAMMAM,BANOTH SEETAYYA,M,IND,1855,0.26%,,1043897,732650,70.18%,13,0,OTHERS
729,1991,ANDHRA PRADESH,KHAMMAM,AVULA RAMA RAO,M,IND,1490,0.21%,,1043897,732650,70.18%,14,0,OTHERS
730,1991,ANDHRA PRADESH,KHAMMAM,SURYANARAYANA JAMGETI,M,BSP,1208,0.17%,,1043897,732650,70.18%,15,0,OTHERS
731,1991,ANDHRA PRADESH,KHAMMAM,PRABHAKAR REDDY,M,IND,964,0.13%,,1043897,732650,70.18%,16,0,OTHERS
732,1991,ANDHRA PRADESH,KHAMMAM,VENKATESWARLU YEDAVALLI,M,IND,615,0.09%,,1043897,732650,70.18%,17,0,OTHERS
733,1991,ANDHRA PRADESH,KHAMMAM,TULASI RAMULU NATESAN,M,IND,596,0.08%,,1043897,732650,70.18%,18,0,OTHERS
736,1991,ANDHRA PRADESH,NALGONDA,BOMMAGANI DHARMA BIKSHAM,M,CPI,282904,42.30%,,1155859,688552,59.57%,1,1,OTHERS
737,1991,ANDHRA PRADESH,NALGONDA,CHAKILAM SRINIVASA RAO,M,INC,214327,32.05%,,1155859,688552,59.57%,2,0,INC
738,1991,ANDHRA PRADESH,NALGONDA,INDRASENA REDDY NELLU,M,BJP,152727,22.84%,,1155859,688552,59.57%,3,0,BJP
739,1991,ANDHRA PRADESH,NALGONDA,YADAGIRI REDDY TUMMALAPALLY,M,IND,3574,0.53%,,1155859,688552,59.57%,4,0,OTHERS
740,1991,ANDHRA PRADESH,NALGONDA,TOTAKURI VEERAIAH,M,BSP,3500,0.52%,,1155859,688552,59.57%,5,0,OTHERS
741,1991,ANDHRA PRADESH,NALGONDA,ANJAIAH MITTAPALLY,M,IND,3354,0.50%,,1155859,688552,59.57%,6,0,OTHERS
742,1991,ANDHRA PRADESH,NALGONDA,N VENKATESHAM GOUD,M,JP,2569,0.38%,,1155859,688552,59.57%,7,0,OTHERS
743,1991,ANDHRA PRADESH,NALGONDA,AVULA KRISHNA REDDY,M,IND,1766,0.26%,,1155859,688552,59.57%,8,0,OTHERS
744,1991,ANDHRA PRADESH,NALGONDA,MOHD SHAHROSE KHAN,M,IND,1764,0.26%,,1155859,688552,59.57%,9,0,OTHERS
745,1991,ANDHRA PRADESH,NALGONDA,SANGU MALLAIAH,M,LKD,1536,0.23%,,1155859,688552,59.57%,10,0,OTHERS
746,1991,ANDHRA PRADESH,NALGONDA,NAKKA ANJANEYULU,M,IND,786,0.12%,,1155859,688552,59.57%,11,0,OTHERS
754,1991,ANDHRA PRADESH,MIRYALGUDA,BHEEMIREDDY NARSIMHA REDDY,M,CPM,309249,43.52%,,1095544,731147,66.74%,1,1,OTHERS
755,1991,ANDHRA PRADESH,MIRYALGUDA,BN REDDY,M,INC,300986,42.36%,,1095544,731147,66.74%,2,0,INC
756,1991,ANDHRA PRADESH,MIRYALGUDA,ORUGANTI RAMULU,M,BJP,43249,6.09%,,1095544,731147,66.74%,3,0,BJP
757,1991,ANDHRA PRADESH,MIRYALGUDA,CHERUKU SUDHAKAR,M,IND,26778,3.77%,,1095544,731147,66.74%,4,0,OTHERS
758,1991,ANDHRA PRADESH,MIRYALGUDA,SARASANI JANI REDDY,M,IND,7810,1.10%,,1095544,731147,66.74%,5,0,OTHERS
759,1991,ANDHRA PRADESH,MIRYALGUDA,KRISHNAMURTHY RAJAMANYA,M,IND,5216,0.73%,,1095544,731147,66.74%,6,0,OTHERS
760,1991,ANDHRA PRADESH,MIRYALGUDA,R RANGAIAH,M,JP,3442,0.48%,,1095544,731147,66.74%,7,0,OTHERS
761,1991,ANDHRA PRADESH,MIRYALGUDA,GONGATI BIKSHA REDDY,M,IND,3424,0.48%,,1095544,731147,66.74%,8,0,OTHERS
762,1991,ANDHRA PRADESH,MIRYALGUDA,MD EKBAL AHMADU,M,IND,3335,0.47%,,1095544,731147,66.74%,9,0,OTHERS
763,1991,ANDHRA PRADESH,MIRYALGUDA,MARRI NEHEMYA,M,IND,2517,0.35%,,1095544,731147,66.74%,10,0,OTHERS
764,1991,ANDHRA PRADESH,MIRYALGUDA,AMBATI BIKSHAM,M,BSP,2365,0.33%,,1095544,731147,66.74%,11,0,OTHERS
765,1991,ANDHRA PRADESH,MIRYALGUDA,JANIMIYA SHAIK,M,IND,1466,0.21%,,1095544,731147,66.74%,12,0,OTHERS
766,1991,ANDHRA PRADESH,MIRYALGUDA,DARA VARAPPASADA RAO,M,IND,706,0.10%,,1095544,731147,66.74%,13,0,OTHERS
770,1991,ARUNACHAL PRADESH,ARUNACHAL WEST,PREM KHANDU THUNGON,M,INC,103249,71.68%,,306485,146948,47.95%,1,1,INC
771,1991,ARUNACHAL PRADESH,ARUNACHAL WEST,KAMEN RINGU,M,JD,35668,24.76%,,306485,146948,47.95%,2,0,OTHERS
772,1991,ARUNACHAL PRADESH,ARUNACHAL WEST,PURA TADO,M,BJP,5130,3.56%,,306485,146948,47.95%,3,0,BJP
775,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,LAETA UMBREY,M,INC,76575,65.53%,,1516164,664269,43.81%,1,1,INC
776,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,CHAU KHOUK MANPOONG,M,JD,28712,24.57%,,1516164,664269,43.81%,2,0,OTHERS
777,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,CAHU TAN MANPOONG,M,BJP,10813,9.25%,,1516164,664269,43.81%,3,0,BJP
778,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,TABANG JAMOH,M,IND,754,0.65%,,1516164,664269,43.81%,4,0,OTHERS
782,1991,ASSAM,KARIMGANJ (SC),DWARKA NATH DAS,M,BJP,231810,39.20%,,801657,619166,77.24%,1,1,BJP
783,1991,ASSAM,KARIMGANJ (SC),JATINDRA CHANDRA DAS,M,JD,182057,30.79%,,801657,619166,77.24%,2,0,OTHERS
784,1991,ASSAM,KARIMGANJ (SC),NARAYAN CHANDRA DAS,M,AGP,66190,11.19%,,801657,619166,77.24%,3,0,OTHERS
785,1991,ASSAM,KARIMGANJ (SC),SUDARSHAN DAS,M,INC,55787,9.43%,,965189,470258,48.72%,4,0,INC
786,1991,ASSAM,KARIMGANJ (SC),CHINURANI ROY (W),F,IND,13968,2.36%,,801657,619166,77.24%,5,0,OTHERS
787,1991,ASSAM,KARIMGANJ (SC),SUDHANSHU RANJAN ROY,M,ICS(SCS),11718,1.98%,,965189,470258,48.72%,6,0,OTHERS
788,1991,ASSAM,KARIMGANJ (SC),RADHAKANTA TANTY,M,IND,6435,1.09%,,965189,470258,48.72%,7,0,OTHERS
789,1991,ASSAM,KARIMGANJ (SC),YADAV RAJBHAR,M,IND,4926,0.83%,,965189,470258,48.72%,8,0,OTHERS
790,1991,ASSAM,KARIMGANJ (SC),RADHEY SHYAM BISWAS,M,JP,4756,0.80%,,965189,470258,48.72%,9,0,OTHERS
791,1991,ASSAM,KARIMGANJ (SC),LAKSHMI NIVASHKALOWAR,M,IND,4262,0.72%,,801657,619166,77.24%,10,0,OTHERS
792,1991,ASSAM,KARIMGANJ (SC),BRAJALAL RABIDAS,M,IND,3907,0.66%,,801657,619166,77.24%,11,0,OTHERS
793,1991,ASSAM,KARIMGANJ (SC),PRAVHAT KUMAR MALAKAR,M,IND,2021,0.34%,,801657,619166,77.24%,12,0,OTHERS
794,1991,ASSAM,KARIMGANJ (SC),SUNIL DAS,M,IND,1899,0.32%,,801657,619166,77.24%,13,0,OTHERS
795,1991,ASSAM,KARIMGANJ (SC),MAYA SARKAR (W),F,IND,1590,0.27%,,801657,619166,77.24%,14,0,OTHERS
798,1991,ASSAM,SILCHAR,KABINDRA PURKAYASTHA,M,BJP,204201,38.87%,,732998,555107,75.73%,1,1,BJP
799,1991,ASSAM,SILCHAR,NURUL HUDA,M,CPM,193350,36.81%,,732998,555107,75.73%,2,0,OTHERS
800,1991,ASSAM,SILCHAR,PRABHAS SEN MAJUMDAR,M,INC,87875,16.73%,,732998,555107,75.73%,3,0,INC
806,1991,ASSAM,SILCHAR,SAHIDUL ALOM CHOUDHURY,M,AGP,13701,2.61%,,732998,555107,75.73%,4,0,OTHERS
807,1991,ASSAM,SILCHAR,BIJOY BAHADUR SINGH,M,NAGP,8914,1.70%,,732998,555107,75.73%,5,0,OTHERS
808,1991,ASSAM,SILCHAR,DILIP KUMAR SINGHA,M,IND,5217,0.99%,,732998,555107,75.73%,6,0,OTHERS
809,1991,ASSAM,SILCHAR,KANTIMOY DEB,M,IND,4587,0.87%,,732998,555107,75.73%,7,0,OTHERS
810,1991,ASSAM,SILCHAR,SONA SINGH,M,URC,3936,0.75%,,732998,555107,75.73%,8,0,OTHERS
811,1991,ASSAM,SILCHAR,KHAN SAHAB ALIMUDDIN CHOUDHURY,M,IND,3542,0.67%,,732998,555107,75.73%,9,0,OTHERS
814,1991,ASSAM,AUTONOMOUS DISTRICT (ST),JAYANTA RONGPI,M,ADC,139785,47.12%,,844143,289793,34.33%,1,1,OTHERS
815,1991,ASSAM,AUTONOMOUS DISTRICT (ST),BIREN SINGH ENGTI,M,INC,82004,27.64%,,844143,289793,34.33%,2,0,INC
816,1991,ASSAM,AUTONOMOUS DISTRICT (ST),NIGAMANANDA MAITHAR,M,AGP,44588,15.03%,,844143,289793,34.33%,3,0,OTHERS
817,1991,ASSAM,AUTONOMOUS DISTRICT (ST),BROJEN LANGTHASA,M,IND,16061,5.41%,,844143,289793,34.33%,4,0,OTHERS
818,1991,ASSAM,AUTONOMOUS DISTRICT (ST),BAPURAM SINGNAR,M,BJP,14242,4.80%,,844143,289793,34.33%,5,0,BJP
821,1991,ASSAM,DHUBRI,NURUL ISLAM,M,INC,189843,26.53%,,883429,749078,84.79%,1,1,INC
822,1991,ASSAM,DHUBRI,DINESH CHANDRA SARKAR,M,BJP,140391,19.62%,,883429,749078,84.79%,2,0,BJP
823,1991,ASSAM,DHUBRI,AZAD ALI,M,JD,83478,11.67%,,883429,749078,84.79%,3,0,OTHERS
824,1991,ASSAM,DHUBRI,AHMED HUSSAIN,M,ICS(SCS),62597,8.75%,,883429,749078,84.79%,4,0,OTHERS
825,1991,ASSAM,DHUBRI,TATTWA NARAYAN ADHIKARY,M,CPI,58832,8.22%,,801311,529721,66.11%,5,0,OTHERS
826,1991,ASSAM,DHUBRI,MINHAR ALI MANDAL,M,IND,55105,7.70%,,801311,529721,66.11%,6,0,OTHERS
827,1991,ASSAM,DHUBRI,DEBENDRA DAS,M,AGP,52879,7.39%,,801311,529721,66.11%,7,0,OTHERS
828,1991,ASSAM,DHUBRI,ABDUL HAMID,M,UMF,33212,4.64%,,801311,529721,66.11%,8,0,OTHERS
829,1991,ASSAM,DHUBRI,MAHAMMAD ALI,M,NAGP,17115,2.39%,,801311,529721,66.11%,9,0,OTHERS
830,1991,ASSAM,DHUBRI,ABDUL REZAK,M,URC,9469,1.32%,,883429,749078,84.79%,10,0,OTHERS
831,1991,ASSAM,DHUBRI,AKHIRUL ISLAM,M,IND,6504,0.91%,,883429,749078,84.79%,11,0,OTHERS
832,1991,ASSAM,DHUBRI,NAZRUL ISLAM,M,JP,6068,0.85%,,883429,749078,84.79%,12,0,OTHERS
835,1991,ASSAM,KOKRAJHAR (ST),SATYENDRA NATH BROHMO CHOUDHURY,M,IND,426727,53.20%,,901583,365754,40.57%,1,1,OTHERS
836,1991,ASSAM,KOKRAJHAR (ST),LOUIS ISLARY,M,INC,163588,20.39%,,901583,365754,40.57%,2,0,INC
837,1991,ASSAM,KOKRAJHAR (ST),BIRENDRA CHANDRA BORO,M,AGP,140809,17.55%,,901583,365754,40.57%,3,0,OTHERS
838,1991,ASSAM,KOKRAJHAR (ST),SAMAR BRAHMA CHOUDHURY,M,PTCA,71027,8.85%,,901583,365754,40.57%,4,0,OTHERS
841,1991,ASSAM,BARPETA,UDDHAB BARMAN,M,CPM,206772,30.44%,,869418,706507,81.26%,1,1,OTHERS
842,1991,ASSAM,BARPETA,ABDUL LATIF,M,INC,153665,22.62%,,869418,706507,81.26%,2,0,INC
843,1991,ASSAM,BARPETA,ATAUR RAHAMAN,M,AGP,92982,13.69%,,869418,706507,81.26%,3,0,OTHERS
844,1991,ASSAM,BARPETA,AF GOLAM OSMANI,M,UMF,67048,9.87%,,930330,695973,74.81%,4,0,OTHERS
845,1991,ASSAM,BARPETA,KAMAKHYA CHARAN CHOUDHURY,M,NAGP,35284,5.19%,,930330,695973,74.81%,5,0,OTHERS
846,1991,ASSAM,BARPETA,HALIDA KHATUN (W),F,JP,25891,3.81%,,869418,706507,81.26%,6,0,OTHERS
847,1991,ASSAM,BARPETA,PRASENJIT KUMAR TALUKDAR,M,JD,25736,3.79%,,930330,695973,74.81%,7,0,OTHERS
848,1991,ASSAM,BARPETA,KAMAL NAYAK,M,IND,24392,3.59%,,930330,695973,74.81%,8,0,OTHERS
849,1991,ASSAM,BARPETA,CHANAKYA PATHAK,M,IND,13603,2.00%,,930330,695973,74.81%,9,0,OTHERS
850,1991,ASSAM,BARPETA,ABU BAKKAR SIDDIQUE,M,URC,9879,1.45%,,869418,706507,81.26%,10,0,OTHERS
851,1991,ASSAM,BARPETA,AMRIT PATHAK,M,IND,7264,1.07%,,869418,706507,81.26%,11,0,OTHERS
852,1991,ASSAM,BARPETA,GUNINDRA NATH SARMA,M,IND,5596,0.82%,,869418,706507,81.26%,12,0,OTHERS
853,1991,ASSAM,BARPETA,BAHARUL ISLAM,M,IND,5146,0.76%,,869418,706507,81.26%,13,0,OTHERS
859,1991,ASSAM,BARPETA,DAYAL CHANDRA BARMAN,M,AJD,3270,0.48%,,869418,706507,81.26%,14,0,OTHERS
860,1991,ASSAM,BARPETA,MD MALJUDDIN AHMED,M,IND,2688,0.40%,,869418,706507,81.26%,15,0,OTHERS
863,1991,ASSAM,GAUHATI,KIRIP CHALIHA,M,INC,169628,23.84%,,1067490,746036,69.89%,1,1,INC
864,1991,ASSAM,GAUHATI,ASFAF ALI,M,NAGP,124823,17.54%,,1067490,746036,69.89%,2,0,OTHERS
865,1991,ASSAM,GAUHATI,JONARDAN BEZBARUA,M,AGP,117930,16.57%,,1067490,746036,69.89%,3,0,OTHERS
866,1991,ASSAM,GAUHATI,NIBARAN BORA,M,SLP,101196,14.22%,,1067490,746036,69.89%,4,0,OTHERS
867,1991,ASSAM,GAUHATI,HIRANYA BHATTACHARJYA,M,BJP,53750,7.55%,,1029180,531121,51.61%,5,0,BJP
868,1991,ASSAM,GAUHATI,DHIRESWAR KALITA,M,CPI,29928,4.21%,,1029180,531121,51.61%,6,0,OTHERS
869,1991,ASSAM,GAUHATI,SABYA SACHI RABHA,M,URC,26694,3.75%,,1029180,531121,51.61%,7,0,OTHERS
870,1991,ASSAM,GAUHATI,MEDINI MOHAN CHOUDHURY,M,IND,24721,3.47%,,1029180,531121,51.61%,8,0,OTHERS
871,1991,ASSAM,GAUHATI,SAILEN MEDHI,M,IND,23688,3.33%,,1029180,531121,51.61%,9,0,OTHERS
872,1991,ASSAM,GAUHATI,SATYENDRA PRASAD DEKA,M,JP,8202,1.15%,,1067490,746036,69.89%,10,0,OTHERS
873,1991,ASSAM,GAUHATI,PABITRA KUMAR CHAUDHURY,M,IND,7701,1.08%,,1067490,746036,69.89%,11,0,OTHERS
874,1991,ASSAM,GAUHATI,KUNTALA DEKA (W),F,AJD,5249,0.74%,,1067490,746036,69.89%,12,0,OTHERS
875,1991,ASSAM,GAUHATI,RAMANI KANTA BARUA,M,IND,4907,0.69%,,1067490,746036,69.89%,13,0,OTHERS
876,1991,ASSAM,GAUHATI,RAMBILASH,M,IND,3633,0.51%,,1067490,746036,69.89%,14,0,OTHERS
877,1991,ASSAM,GAUHATI,ACHYUT KUMAR THAKURIA,M,IND,3211,0.45%,,1067490,746036,69.89%,15,0,OTHERS
878,1991,ASSAM,GAUHATI,BINOY KUMAR TAMULY,M,IND,2919,0.41%,,1067490,746036,69.89%,16,0,OTHERS
879,1991,ASSAM,GAUHATI,SASADHAR DAS,M,IND,2314,0.33%,,1067490,746036,69.89%,17,0,OTHERS
880,1991,ASSAM,GAUHATI,MAHABIR SINGH,M,IND,1016,0.14%,,1067490,746036,69.89%,18,0,OTHERS
883,1991,ASSAM,MANGALDOI,PRBIN DEKA,M,INC,164410,24.02%,,956170,724300,75.75%,1,1,INC
884,1991,ASSAM,MANGALDOI,BIRENDRA PRASAD BAISHYA,M,AGP,146397,21.39%,,956170,724300,75.75%,2,0,OTHERS
885,1991,ASSAM,MANGALDOI,BINAI KHUNGUR BASUMATARI,M,IND,102068,14.91%,,956170,724300,75.75%,3,0,OTHERS
886,1991,ASSAM,MANGALDOI,LAKSHMI KANTA SAIKIA,M,ICS(SCS),87344,12.76%,,956170,724300,75.75%,4,0,OTHERS
887,1991,ASSAM,MANGALDOI,HABIBAR RAHMAN,M,NAGP,84479,12.34%,,956170,724300,75.75%,5,0,OTHERS
888,1991,ASSAM,MANGALDOI,HARESWAR BARMAN,M,URC,33341,4.87%,,956170,724300,75.75%,6,0,OTHERS
889,1991,ASSAM,MANGALDOI,HARMOHAN SARMA,M,IND,14241,2.08%,,956170,724300,75.75%,7,0,OTHERS
890,1991,ASSAM,MANGALDOI,PREMESHWAR SARMA,M,IND,11897,1.74%,,956170,724300,75.75%,8,0,OTHERS
891,1991,ASSAM,MANGALDOI,GOPI CHANDRA SAH,M,JP,9838,1.44%,,956170,724300,75.75%,9,0,OTHERS
892,1991,ASSAM,MANGALDOI,ARUN KUMAR BARUAH,M,IND,7763,1.13%,,956170,724300,75.75%,10,0,OTHERS
893,1991,ASSAM,MANGALDOI,MUKUNDA KALITA,M,IND,7397,1.08%,,956170,724300,75.75%,11,0,OTHERS
894,1991,ASSAM,MANGALDOI,ARBINDA DEKA,M,IND,6759,0.99%,,956170,724300,75.75%,12,0,OTHERS
895,1991,ASSAM,MANGALDOI,MAHESH CHAKRABARTY,M,IND,3527,0.52%,,956170,724300,75.75%,13,0,OTHERS
896,1991,ASSAM,MANGALDOI,BHUPEN KAKATI,M,IND,2554,0.37%,,956170,724300,75.75%,14,0,OTHERS
897,1991,ASSAM,MANGALDOI,RAJEEV SAHARIA,M,IND,2405,0.35%,,956170,724300,75.75%,15,0,OTHERS
900,1991,ASSAM,TEZPUR,SWARUP UPADHAYAYA,M,INC,237955,41.89%,,805795,608316,75.49%,1,1,INC
901,1991,ASSAM,TEZPUR,PURNA NARAYAN SINHA,M,AGP,131638,23.18%,,805795,608316,75.49%,2,0,OTHERS
902,1991,ASSAM,TEZPUR,TANKA BAHADUR RAI,M,NAGP,61914,10.90%,,805795,608316,75.49%,3,0,OTHERS
903,1991,ASSAM,TEZPUR,RANA PRASAD DEOURI,M,URC,39823,7.01%,,805795,608316,75.49%,4,0,OTHERS
904,1991,ASSAM,TEZPUR,JAY NARAYAN LUITEL,M,BJP,33968,5.98%,,805795,608316,75.49%,5,0,BJP
905,1991,ASSAM,TEZPUR,GOLOK NATH,M,IND,21349,3.76%,,805795,608316,75.49%,6,0,OTHERS
906,1991,ASSAM,TEZPUR,PUNU ORAON,M,IND,12636,2.22%,,805795,608316,75.49%,7,0,OTHERS
907,1991,ASSAM,TEZPUR,RABIN DEKA,M,IND,12134,2.14%,,805795,608316,75.49%,8,0,OTHERS
913,1991,ASSAM,TEZPUR,DILIP KUMAR AGARWALA,M,IND,11935,2.10%,,805795,608316,75.49%,9,0,OTHERS
914,1991,ASSAM,TEZPUR,ISWAR DAYAL PRAJAPATI,M,DDP,4631,0.82%,,805795,608316,75.49%,10,0,OTHERS
917,1991,ASSAM,NOWGONG,MUHIRAM SAIKIA,M,AGP,151481,24.35%,,878733,660626,75.18%,1,1,OTHERS
918,1991,ASSAM,NOWGONG,BISHNU PRASAD,M,INC,138564,22.27%,,878733,660626,75.18%,2,0,INC
919,1991,ASSAM,NOWGONG,HAFIZ RASHID AHMED CHOUDHARY,M,UMF,106477,17.11%,,878733,660626,75.18%,3,0,OTHERS
920,1991,ASSAM,NOWGONG,BIRINCHI SARMAH,M,BJP,105744,17.00%,,878733,660626,75.18%,4,0,BJP
921,1991,ASSAM,NOWGONG,INDERSWAR GOSWAMI,M,JD,27527,4.42%,,878733,660626,75.18%,5,0,OTHERS
922,1991,ASSAM,NOWGONG,DIPTI KUMAR BARUA,M,SLP,24542,3.94%,,878733,660626,75.18%,6,0,OTHERS
923,1991,ASSAM,NOWGONG,LAKSHESWAR HAZARIKA,M,NAGP,18328,2.95%,,878733,660626,75.18%,7,0,OTHERS
924,1991,ASSAM,NOWGONG,DIMBESWAR MEDHI,M,IND,13946,2.24%,,878733,660626,75.18%,8,0,OTHERS
925,1991,ASSAM,NOWGONG,BIMAL CHANDRA SAIKIA,M,ICS(SCS),10250,1.65%,,878733,660626,75.18%,9,0,OTHERS
926,1991,ASSAM,NOWGONG,DEBAKANTA SAIKIA,M,AJP,8047,1.29%,,878733,660626,75.18%,10,0,OTHERS
927,1991,ASSAM,NOWGONG,MUKUNDA BARMAN,M,IND,7871,1.27%,,878733,660626,75.18%,11,0,OTHERS
928,1991,ASSAM,NOWGONG,RISHDEO KOIREE,M,DDP,5651,0.91%,,878733,660626,75.18%,12,0,OTHERS
929,1991,ASSAM,NOWGONG,ABDUL MUSABBIR CHOUDHURY,M,IND,3701,0.59%,,878733,660626,75.18%,13,0,OTHERS
932,1991,ASSAM,KALIABOR,TARUN GOGOI,M,INC,295049,45.56%,,908505,680628,74.92%,1,1,INC
933,1991,ASSAM,KALIABOR,DEBESWAR BORA,M,AGP,170330,26.30%,,908505,680628,74.92%,2,0,OTHERS
934,1991,ASSAM,KALIABOR,BHADRESWAR TANTI,M,NAGP,60469,9.34%,,908505,680628,74.92%,3,0,OTHERS
935,1991,ASSAM,KALIABOR,KASEM ALI,M,JD,50421,7.78%,,908505,680628,74.92%,4,0,OTHERS
936,1991,ASSAM,KALIABOR,BROJEN MAHANTA,M,URC,23071,3.56%,,908505,680628,74.92%,5,0,OTHERS
937,1991,ASSAM,KALIABOR,ABDUL KALAM KUDARJUL ISLAM,M,IND,15062,2.33%,,908505,680628,74.92%,6,0,OTHERS
938,1991,ASSAM,KALIABOR,AMBU BORA,M,IND,8981,1.39%,,908505,680628,74.92%,7,0,OTHERS
939,1991,ASSAM,KALIABOR,A WAHAB,M,IND,6945,1.07%,,908505,680628,74.92%,8,0,OTHERS
940,1991,ASSAM,KALIABOR,PROMOD SINHA,M,IND,6136,0.95%,,908505,680628,74.92%,9,0,OTHERS
941,1991,ASSAM,KALIABOR,PULIN BORKATAKI,M,IND,4682,0.72%,,908505,680628,74.92%,10,0,OTHERS
942,1991,ASSAM,KALIABOR,NURAL HAQUE,M,IND,4085,0.63%,,908505,680628,74.92%,11,0,OTHERS
943,1991,ASSAM,KALIABOR,RAMESHWAR BORA,M,JD(S),2440,0.38%,,908505,680628,74.92%,12,0,OTHERS
946,1991,ASSAM,JORHAT,BIJOY KRISHNA HANDUQUI,M,INC,239369,44.90%,,853871,563633,66.01%,1,1,INC
947,1991,ASSAM,JORHAT,PARAGEHAR CHALIHA,M,AGP,128706,24.14%,,853871,563633,66.01%,2,0,OTHERS
948,1991,ASSAM,JORHAT,DEVANGA PRASAO BURACOHAIN,M,CPI,60781,11.40%,,853871,563633,66.01%,3,0,OTHERS
949,1991,ASSAM,JORHAT,BIMAL GOGOI,M,NAGP,37046,6.95%,,853871,563633,66.01%,4,0,OTHERS
950,1991,ASSAM,JORHAT,KRISHNA KANTA GOGOI,M,URC,18218,3.42%,,853871,563633,66.01%,5,0,OTHERS
951,1991,ASSAM,JORHAT,KIRTI CHUTIA,M,IND,12015,2.25%,,853871,563633,66.01%,6,0,OTHERS
952,1991,ASSAM,JORHAT,SUDHIR CHANDRA HANDIQUE,M,IND,10602,1.99%,,853871,563633,66.01%,7,0,OTHERS
953,1991,ASSAM,JORHAT,MD NURUL ISLAM,M,IND,6620,1.24%,,853871,563633,66.01%,8,0,OTHERS
954,1991,ASSAM,JORHAT,INDU GOGOI (W),F,IND,5807,1.09%,,853871,563633,66.01%,9,0,OTHERS
955,1991,ASSAM,JORHAT,JUREN RAJKHOWA,M,IND,4407,0.83%,,853871,563633,66.01%,10,0,OTHERS
956,1991,ASSAM,JORHAT,BIREN GOGOI (W),F,IND,4147,0.78%,,853871,563633,66.01%,11,0,OTHERS
957,1991,ASSAM,JORHAT,MD ALERED ALI,M,IND,3318,0.62%,,853871,563633,66.01%,12,0,OTHERS
958,1991,ASSAM,JORHAT,PARESH BARDOLOI,M,JD(S),2108,0.40%,,853871,563633,66.01%,13,0,OTHERS
966,1991,ASSAM,DIBRUGARH,PABAN SINGH GHATOWAR,M,INC,243937,50.53%,,801311,529721,66.11%,1,1,INC
967,1991,ASSAM,DIBRUGARH,DIPEN TANTI,M,AGP,106017,21.96%,,801311,529721,66.11%,2,0,OTHERS
968,1991,ASSAM,DIBRUGARH,ISRAIL NANDA,M,NAGP,35011,7.25%,,801311,529721,66.11%,3,0,OTHERS
969,1991,ASSAM,DIBRUGARH,KUMUD BIHARI DAS,M,BJP,27692,5.74%,,1031174,637229,61.80%,4,0,BJP
970,1991,ASSAM,DIBRUGARH,ANIL BARUAN,M,IPF,24966,5.17%,,1031174,637229,61.80%,5,0,OTHERS
971,1991,ASSAM,DIBRUGARH,JOGEN HAZARIKA,M,IND,14274,2.96%,,1031174,637229,61.80%,6,0,OTHERS
972,1991,ASSAM,DIBRUGARH,PHATE CHANDRA GARODIA,M,ICS(SCS),10265,2.13%,,1031174,637229,61.80%,7,0,OTHERS
973,1991,ASSAM,DIBRUGARH,ABRAHAM SANGA,M,URC,5945,1.23%,,1031174,637229,61.80%,8,0,OTHERS
974,1991,ASSAM,DIBRUGARH,DOLI DAS (W),F,IND,5058,1.05%,,801311,529721,66.11%,9,0,OTHERS
975,1991,ASSAM,DIBRUGARH,DHARMANANDA PANDEY,M,IND,4968,1.03%,,801311,529721,66.11%,10,0,OTHERS
976,1991,ASSAM,DIBRUGARH,SITARAM BUKARDIA,M,IND,2584,0.54%,,801311,529721,66.11%,11,0,OTHERS
977,1991,ASSAM,DIBRUGARH,NURUL MUDA AHMED,M,IND,2005,0.42%,,801311,529721,66.11%,12,0,OTHERS
980,1991,ASSAM,LAKHIMPUR,BOLIN KULI,M,INC,187610,31.36%,,887318,642536,72.41%,1,1,INC
981,1991,ASSAM,LAKHIMPUR,ISWAR PRASANNA HAZARIKA,M,AGP,126250,21.10%,,887318,642536,72.41%,2,0,OTHERS
982,1991,ASSAM,LAKHIMPUR,RONOJ PEGU,M,IND,89524,14.97%,,887318,642536,72.41%,3,0,OTHERS
983,1991,ASSAM,LAKHIMPUR,DULAL CHANDRA BARUAH,M,JD,66983,11.20%,,887318,642536,72.41%,4,0,OTHERS
984,1991,ASSAM,LAKHIMPUR,SAIFUDDIN ALI HAZARIKA,M,CPI,32296,5.40%,,887318,642536,72.41%,5,0,OTHERS
985,1991,ASSAM,LAKHIMPUR,NEELOTPAL RAJKONWAR,M,IND,21550,3.60%,,887318,642536,72.41%,6,0,OTHERS
986,1991,ASSAM,LAKHIMPUR,BIROCHON DOLEY,M,PTCA,16360,2.73%,,887318,642536,72.41%,7,0,OTHERS
987,1991,ASSAM,LAKHIMPUR,NORENDRA NATH GOHAIN,M,IND,12719,2.13%,,887318,642536,72.41%,8,0,OTHERS
988,1991,ASSAM,LAKHIMPUR,GIRISH CHANDRA PATRA,M,NAGP,11245,1.88%,,887318,642536,72.41%,9,0,OTHERS
